307.0,130.0,3504,18.0
350.0,165.0,3693,15.0
318.0,150.0,3436,18.0
304.0,150.0,3433,16.0
302.0,140.0,3449,17.0
429.0,198.0,4341,15.0
454.0,220.0,4354,14.0
440.0,215.0,4312,14.0
455.0,225.0,4425,14.0
390.0,190.0,3850,15.0
383.0,170.0,3563,15.0
340.0,160.0,3609,14.0
400.0,150.0,3761,15.0
455.0,225.0,3086,14.0
113.0,95.00,2372,24.0
198.0,95.00,2833,22.0
199.0,97.00,2774,18.0
200.0,85.00,2587,21.0
97.00,88.00,2130,27.0
97.00,46.00,1835,26.0
110.0,87.00,2672,25.0
107.0,90.00,2430,24.0
104.0,95.00,2375,25.0
121.0,113.0,2234,26.0
199.0,90.00,2648,21.0
360.0,215.0,4615,10.0
307.0,200.0,4376,10.0
318.0,210.0,4382,11.0
304.0,193.0,4732,9.0 
97.00,88.00,2130,27.0
140.0,90.00,2264,28.0
113.0,95.00,2228,25.0
232.0,100.0,2634,19.0
225.0,105.0,3439,16.0
250.0,100.0,3329,17.0
250.0,88.00,3302,19.0
232.0,100.0,3288,18.0
350.0,165.0,4209,14.0
400.0,175.0,4464,14.0
351.0,153.0,4154,14.0
318.0,150.0,4096,14.0
383.0,180.0,4955,12.0
400.0,170.0,4746,13.0
400.0,175.0,5140,13.0
258.0,110.0,2962,18.0
140.0,72.00,2408,22.0
250.0,100.0,3282,19.0
250.0,88.00,3139,18.0
122.0,86.00,2220,23.0
116.0,90.00,2123,28.0
79.00,70.00,2074,30.0
88.00,76.00,2065,30.0
71.00,65.00,1773,31.0
72.00,69.00,1613,35.0
97.00,60.00,1834,27.0
91.00,70.00,1955,26.0
113.0,95.00,2278,24.0
97.50,80.00,2126,25.0
97.00,54.00,2254,23.0
140.0,90.00,2408,20.0
122.0,86.00,2226,21.0
350.0,165.0,4274,13.0
400.0,175.0,4385,14.0
318.0,150.0,4135,15.0
351.0,153.0,4129,14.0
304.0,150.0,3672,17.0
429.0,208.0,4633,11.0
350.0,155.0,4502,13.0
350.0,160.0,4456,12.0
400.0,190.0,4422,13.0
70.00,97.00,2330,19.0
304.0,150.0,3892,15.0
307.0,130.0,4098,13.0
302.0,140.0,4294,13.0
318.0,150.0,4077,14.0
121.0,112.0,2933,18.0
121.0,76.00,2511,22.0
120.0,87.00,2979,21.0
96.00,69.00,2189,26.0
122.0,86.00,2395,22.0
97.00,92.00,2288,28.0
120.0,97.00,2506,23.0
98.00,80.00,2164,28.0
97.00,88.00,2100,27.0
350.0,175.0,4100,13.0
304.0,150.0,3672,14.0
350.0,145.0,3988,13.0
302.0,137.0,4042,14.0
318.0,150.0,3777,15.0
429.0,198.0,4952,12.0
400.0,150.0,4464,13.0
351.0,158.0,4363,13.0
318.0,150.0,4237,14.0
440.0,215.0,4735,13.0
455.0,225.0,4951,12.0
360.0,175.0,3821,13.0
225.0,105.0,3121,18.0
250.0,100.0,3278,16.0
232.0,100.0,2945,18.0
250.0,88.00,3021,18.0
198.0,95.00,2904,23.0
97.00,46.00,1950,26.0
400.0,150.0,4997,11.0
400.0,167.0,4906,12.0
360.0,170.0,4654,13.0
350.0,180.0,4499,12.0
232.0,100.0,2789,18.0
97.00,88.00,2279,20.0
140.0,72.00,2401,21.0
108.0,94.00,2379,22.0
70.00,90.00,2124,18.0
122.0,85.00,2310,19.0
155.0,107.0,2472,21.0
98.00,90.00,2265,26.0
350.0,145.0,4082,15.0
400.0,230.0,4278,16.0
68.00,49.00,1867,29.0
116.0,75.00,2158,24.0
114.0,91.00,2582,20.0
121.0,112.0,2868,19.0
318.0,150.0,3399,15.0
121.0,110.0,2660,24.0
156.0,122.0,2807,20.0
350.0,180.0,3664,11.0
198.0,95.00,3102,20.0
232.0,100.0,2901,19.0
250.0,100.0,3336,15.0
79.00,67.00,1950,31.0
122.0,80.00,2451,26.0
71.00,65.00,1836,32.0
140.0,75.00,2542,25.0
250.0,100.0,3781,16.0
258.0,110.0,3632,16.0
225.0,105.0,3613,18.0
302.0,140.0,4141,16.0
350.0,150.0,4699,13.0
318.0,150.0,4457,14.0
302.0,140.0,4638,14.0
304.0,150.0,4257,14.0
98.00,83.00,2219,29.0
79.00,67.00,1963,26.0
97.00,78.00,2300,26.0
76.00,52.00,1649,31.0
83.00,61.00,2003,32.0
90.00,75.00,2125,28.0
90.00,75.00,2108,24.0
116.0,75.00,2246,26.0
120.0,97.00,2489,24.0
108.0,93.00,2391,26.0
79.00,67.00,2000,31.0
225.0,95.00,3264,19.0
250.0,105.0,3459,18.0
250.0,72.00,3432,15.0
250.0,72.00,3158,15.0
400.0,170.0,4668,16.0
350.0,145.0,4440,15.0
318.0,150.0,4498,16.0
351.0,148.0,4657,14.0
231.0,110.0,3907,17.0
250.0,105.0,3897,16.0
258.0,110.0,3730,15.0
225.0,95.00,3785,18.0
