#x y z Ex Ey Ez Bx By Bz
6 3 3
500 200 200 0 10 0 0 0 0
400 200 200 0 10 0 0 0 0
300 200 200 0 10 0 0 0 0
200 200 200 0 10 0 0 0 0
100 200 200 0 10 0 0 0 0
0 200 200 0 10 0 0 0 0
500 100 200 0 10 0 0 0 0
400 100 200 0 10 0 0 0 0
300 100 200 0 10 0 0 0 0
200 100 200 0 10 0 0 0 0
100 100 200 0 10 0 0 0 0
0 100 200 0 10 0 0 0 0
500 0 200 0 10 0 0 0 0
400 0 200 0 10 0 0 0 0
300 0 200 0 10 0 0 0 0
200 0 200 0 10 0 0 0 0
100 0 200 0 10 0 0 0 0
0 0 200 0 10 0 0 0 0
500 200 100 0 10 0 0 0 0
400 200 100 0 10 0 0 0 0
300 200 100 0 10 0 0 0 0
200 200 100 0 10 0 0 0 0
100 200 100 0 10 0 0 0 0
0 200 100 0 10 0 0 0 0
500 100 100 0 10 0 0 0 0
400 100 100 0 10 0 0 0 0
300 100 100 0 10 0 0 0 0
200 100 100 0 10 0 0 0 0
100 100 100 0 10 0 0 0 0
0 100 100 0 10 0 0 0 0
500 0 100 0 10 0 0 0 0
400 0 100 0 10 0 0 0 0
300 0 100 0 10 0 0 0 0
200 0 100 0 10 0 0 0 0
100 0 100 0 10 0 0 0 0
0 0 100 0 10 0 0 0 0
500 200 0 0 10 0 0 0 0
400 200 0 0 10 0 0 0 0
300 200 0 0 10 0 0 0 0
200 200 0 0 10 0 0 0 0
100 200 0 0 10 0 0 0 0
0 200 0 0 10 0 0 0 0
500 100 0 0 10 0 0 0 0
400 100 0 0 10 0 0 0 0
300 100 0 0 10 0 0 0 0
200 100 0 0 10 0 0 0 0
100 100 0 0 10 0 0 0 0
0 100 0 0 10 0 0 0 0
500 0 0 0 10 0 0 0 0
400 0 0 0 10 0 0 0 0
300 0 0 0 10 0 0 0 0
200 0 0 0 10 0 0 0 0
100 0 0 0 10 0 0 0 0
0 0 0 0 10 0 0 0 0
